Eyeblue|Si es lo que tienen los gobiernos comunistas bolivarianos que hacen subir la Bolsa.
pinos1|@Yamuy #89 Cerrar @ pinos1 # 88 Parece ser que los rojos no sabéis ni leer, en mi comentario lo pongo bien claro que el gobierno no hizo bien su gestión permitiendo CONCENTRACIONES masivas, me da igual manifestaciones que ir a misa o ir al futbol, si se hubiera evitado todas estas CONCENTRACIONES los fallecidos serian muchos menos pero era mas importante tener contento a sus socios y claro!!! no iban a prohibir ir a misa y dejar acudir a las manifestaciones. NO NO...no hagas trampas. Pones textualmente..." concentraciones masivas PARA HACER EL PARIPE CON SUS VOTANTES Y SOCIOS"...no me juegues ahora con media frase y que te dá igual.. Un partido del bernabeu ,o una misa, no es lo que tu defines como concentración masiva para hacer el paripé con sus votantes. Hablabas de la manifestación del 8 M ya está. Así que lo que escribiste, escrito está. No vengas ahora con matices para quedar bien.
Utopilitologo|@LAGUNA619 #71 Cerrar @ Utopilitologo # 62 Donde has visto esa imagen cuéntanos , zurdo adiestrad. La veras tú el día de los Pperos de Colon. Veras a Ansar con sus gafas negras, cara al sol. Mirate, entonces al espejo y contempla, que aún tienes mas jeta de endogamico grosero. Recuerda. @LAGUNA619 #71 Cerrar @ Utopilitologo # 62 Donde has visto esa imagen cuéntanos , zurdo adiestrad.
Atlanta47|@MenosLamentoyMasAccion #73 Cerrar Toma tomate pperos. Los mejores datos económicos en décadas, gracias a las políticas del gobierno de Pedro Sánchez y su ministro de economía Carlos Cuerpo. Y tú y tu entorno, lo habéis notado ecoicamente en vuestra economia familiar, que es lo que ,me vale, lo otro son números que se se están inventando. Aquí los únicos que se están enriqueciendo son los amigos y los banqueros amigos de Sanchez.
dalla|Pedro Sánchez, a pesar de todos sus escandalazos, proyecta al IBEX.
SerHumano|Si baja el IBEX la extrema derecha culpa a Sánchez y todo se va al garete. SI el IBEX triunfa, como es el caso, tampoco les va bien, si es bajo el mandato de Sánchez claro, si fuese bajo el de Fachascal estaban tirando cohetes. Menuda panda...
culturro|@MenosLamentoyMasAccion #73 Cerrar Toma tomate pperos. Los mejores datos económicos en décadas, gracias a las políticas del gobierno de Pedro Sánchez y su ministro de economía Carlos Cuerpo. y usted también vota?
culturro|@Piwi-Lin #77 Cerrar Creo que hay que tener en cuenta el IPC... La cosa va así así, el coste de la vida ha subido mucho... de ahí los beneficios bancarios.
culturro|@pinos1 #88 Cerrar @ Yamuy # 81 Era mucho mejor ir a misa a rezar mientras los demás se manifestaban, eh. Con millones de personas en misa ese dia, frente a unos cientos de miles manifestandose, y ahora , eso fué el problema. La manifestación. Ni el futbol, ni los deportes, ni el bernabeu o el metropolitano con 70.000 personas, los conciertos, las discotecas, las misas, ni los congresos de IFEMA que no se suspendió ni uno ( que se hicieron a finales de febrero ) y quién tenía la información, el poder y la decisión de suspenderlo todo?
MenosLamentoyMasAccion|@pinos1 #87 Cerrar @ Quasar # 84 ¿Desde cuando no es el sector industrial el motor de España?...¿Y de otros paises?...En el mundo, su peso es en torno al 30 %. Y mas industria no es mas progreso, solo hay que ver los paises donde hay mas industria del mundo. Subdesarrollados. No es mucho mas. CURIOSAMENTE, en EEUU no llega al 20 %, el peso de la industria. En la UE SOBRE el 25 %. En España el 23 % , similar a Francia, Italia, y demás paises. El mundo lo mueve el sector servicios, y ahí es donde estamos. La industria en Estados Unidos es un componente clave de su economía, con una larga historia de innovación y liderazgo tecnológico. Si bien la manufactura ha disminuido como porcentaje del PIB, la industria estadounidense sigue siendo una potencia en áreas como tecnología, energía, y manufactura. Donde hay más industria hay más subdesarrollo dice usted... ¿Qué más estupideces tenemos que leer de usted? Venga espero su respuesta, gracias.
Yamuy|@pinos1 #88 Cerrar @ Yamuy # 81 Era mucho mejor ir a misa a rezar mientras los demás se manifestaban, eh. Con millones de personas en misa ese dia, frente a unos cientos de miles manifestandose, y ahora , eso fué el problema. La manifestación. Ni el futbol, ni los deportes, ni el bernabeu o el metropolitano con 70.000 personas, los conciertos, las discotecas, las misas, ni los congresos de IFEMA que no se suspendió ni uno ( que se hicieron a finales de febrero ) Parece ser que los rojos no sabéis ni leer, en mi comentario lo pongo bien claro que el gobierno no hizo bien su gestión permitiendo CONCENTRACIONES masivas, me da igual manifestaciones que ir a misa o ir al futbol, si se hubiera evitado todas estas CONCENTRACIONES los fallecidos serian muchos menos pero era mas importante tener contento a sus socios y claro!!! no iban a prohibir ir a misa y dejar acudir a las manifestaciones.
