umbral2|Bien hecho...Esta claro que con esos plazos socialistas solo se busca la impunidad judicial.
Ma15|@naughty_girl #84 Cerrar @ CESAR_DE_ECHAGUE # 69 mira. En España hay 5500 jueces. Problemas de "inversión" (pero de la propia en su trabajo) la tienen docena y media de caraduras con trastornos de la autoestima. Y unos cuantos liberados sindicales de los cuerpos generales,cuando se acercan las elecciones del ramo o les nace la ambición política y hay que figurar con un tema interesante, pero estos los dejamos para otro día. Los 5480 jueces y magistrados restantes están TRABAJANDO, y sacando adelante la carga de sus juzgados sin reclamos patológicos de atención ni numeritos de princesita brotada. En silencio y con dedicación. Y te lo digo desde mi experiencia profesional diaria. hay mucho trastornado en la judicatura, y mucho inútil
umbral2|@Orate #93 Cerrar @ umbral2 # 91 La reforma del artículo 324 de 2020 no modificó los "plazos procesales", estos fueron establecidos en la reforma del PP de 2015. Por tanto dichos plazos no pueden ser socialistas, como dice el titular y usted mismo en # 1. La reforma de 2020 claro que modificó los plazos, Koldo.
Webberson|En cambio, no se te ocurra rozarle una teta a una fea en una discoteca, que sin pruebas, te podrá meter un viogen dentro de 30 años
Ma15|Un inútil que se deja pasar los plazos y sigue cobrando el sueldo
Gouda|Gracias, señor juez!!!
Orate|@Vegv #92 Cerrar Después de 10 años necesitan mas tiempo para investigar. Que los echen de la carrera judicial por inútiles. Es de risa. El tío lleva asuntos de hace más de diez años y se queja de que los "plazos socialistas" "bloquean las investigaciones" ¡Jesús, qué tropa!
Orate|@umbral2 #91 Cerrar @ Orate # 90 Pues me das más la razón. Que esta reforma es de 2020, de este gobierno. La reforma del artículo 324 de 2020 no modificó los "plazos procesales", estos fueron establecidos en la reforma del PP de 2015. Por tanto dichos plazos no pueden ser socialistas, como dice el titular y usted mismo en #1 Cerrar Bien hecho...Esta claro que con esos plazos socialistas solo se busca la impunidad judicial. .
Vegv|Después de 10 años necesitan mas tiempo para investigar. Que los echen de la carrera judicial por inútiles.
umbral2|@Orate #90 Cerrar @ umbral2 # 86 Eso no lo dice el preámbulo de la ley sino el apartado tercero del artículo 324: "3. Si, antes de la finalización del plazo o de alguna de sus prórrogas, el instructor no hubiere dictado la resolución a la que hace referencia el apartado 1, o bien esta fuera revocada por vía de recurso, no serán válidas las diligencias acordadas a partir de dicha fecha." No escribe usted una verdad ni por equivocación. Pues me das más la razón. Que esta reforma es de 2020, de este gobierno.
Orate|@umbral2 #86 Cerrar @ N0RL # 11 El asunto es la reforma de 2020 del art. 324 LECr (en vigor) que introduce de forma expresa que las diligencias extemporáneas no serán válidas. Y la Exposición de Motivos de la Ley se preocupaba de reforzar dicho precepto indicando que: ¿En la presente ley, la expiración del plazo eventualmente fijado por el juez lleva consigo, inequívocamente, la nulidad de todas las diligencias que se practiquen con posterioridad¿.....Y lo sabes, Koldo. Eso no lo dice el preámbulo de la ley sino el apartado tercero del artículo 324: "3. Si, antes de la finalización del plazo o de alguna de sus prórrogas, el instructor no hubiere dictado la resolución a la que hace referencia el apartado 1, o bien esta fuera revocada por vía de recurso, no serán válidas las diligencias acordadas a partir de dicha fecha." No escribe usted una verdad ni por equivocación.
umbral2|@QueAscodeTipo #74 Cerrar Mientras que la situación de la pobreza infantil ha empeorado para España, puesto que hace poco más de un año, Rumanía y Bulgaria eran los líderes indiscutibles de este indicador, hoy España le ha 'robado' la segunda plaza a Rumanía según el reciente informe de Eurostat. Entre tanto estas malas personas de Moncloa no dejan de despilfarrar en tropelías y correrías los impuestos que recaudan a los españoles y que tanto esfuerzo cuesta ganar No olvidemos que España también ha robado la primera plaza en desempleo a Grecia....Los cohetes son así de progresistas para la izquierda.
Pirulas3|@espantajo #16 Cerrar @ Narkosindikalista # 4 Si, pero, este pepejuez, como los otros: el que pueda hacer, que haga... Y si espantaja necesita ayuda, que la pida...
Pirulas3|@Orate #41 Cerrar Al hilo de los plazos establecidos en el artículo 324 de la Ley de Enjuiciamiento Criminal, acabamos de conocer la sentencia de la AN sobre el caso Nueva Rumasa, por el que se condena a penas de cárcel a seis hijos de Ruiz Mateos. El caso se remonta a 2011. Menos mal que los jueces de la AN no han sentido la tentación de sumarse a la iniciativa de este juez sevillano alegando que no les daba tiempo. Sí, mejor. Que ahora les toca a los Pujol. Ya veras qué risas...
umbral2|@N0RL #11 Cerrar @ MAVILAECIJA # 3 @ mimundo69 # 2 @ umbral2 # 1 en serio, dejar de opinar sin saber nada. El artículo 324 Lecrim, establecía antes de la reforma del PSOE un plazo inicial máximo de instrucción de 6 meses, SEIS MESES. La reforma lo amplió a un plazo inicial de 12 meses, informaros. A este juez la Audiencia de Sevilla le ha archivado 2 causas enormes por saltarse a la torera los plazos de instrucción. Y como le van a cascar en otra, está a ver si consigue que no le saquen los colores otra vez. El asunto es la reforma de 2020 del art. 324 LECr (en vigor) que introduce de forma expresa que las diligencias extemporáneas no serán válidas. Y la Exposición de Motivos de la Ley se preocupaba de reforzar dicho precepto indicando que: ¿En la presente ley, la expiración del plazo eventualmente fijado por el juez lleva consigo, inequívocamente, la nulidad de todas las diligencias que se practiquen con posterioridad¿.....Y lo sabes, Koldo.
Orate|Tiene su gracia que sea este juez de Instrucción sevillano, que se queja de la brevedad de los plazos de instrucción, quien ha recibido hoy un informe de la UCO sobre "los privilegios de los 85 "enchufados" en la Faffe" durante el gobierno del socialista en la Junta de Andalucía, un asunto que echó a andar hace nueve años, nueve. El chaval está apurado, pero ha prometido que, con este informe, en un par de años más termina la instrucción.
naughty_girl|@CESAR_DE_ECHAGUE #69 Cerrar @ naughty_girl # 61 y se invertir en justicia para que los procesos no se eternicen ni hablamos no? mira. En España hay 5500 jueces. Problemas de "inversión" (pero de la propia en su trabajo) la tienen docena y media de caraduras con trastornos de la autoestima. Y unos cuantos liberados sindicales de los cuerpos generales,cuando se acercan las elecciones del ramo o les nace la ambición política y hay que figurar con un tema interesante, pero estos los dejamos para otro día. Los 5480 jueces y magistrados restantes están TRABAJANDO, y sacando adelante la carga de sus juzgados sin reclamos patológicos de atención ni numeritos de princesita brotada. En silencio y con dedicación. Y te lo digo desde mi experiencia profesional diaria.
Ratonbell|Pues me parece estupendo.
tienesrazon|@N0RL #77 Cerrar @ elneuras # 72 y que más da elyoyas, si no sabes ni de lo que hablamos. Pijita comunista, algo de lo que nos robáis en Ferraz lo podíais mandar a los del ELA, que se mueren y se mueren y no les dais un euro.
Scaramouche|El PSOE es la organización más corrupta de España. A saber: Caso Filesa, Caso Rumasa, Caso Aller, Caso Seat, Caso AVE, Caso Arcos, Caso Guerra, Caso Roldán, Caso Gal, EREs de Andalucía, caso cursos de formación Andalucía, caso mercasevilla, Caso Campeón, Caso Mallén, Caso Matsa, Caso ACM, Caso Feval, Operación Madeja, caso aznalcóllar, Caso Delcy, Tito Berni, Caso Koldo, caso Abalos , caso Cerdán, caso Begoña, caso hermano de Begoña, caso hermanísimo en la Diputación de Badajoz, caso Álvaro García Ortiz, caso Torres, caso Gallardo, caso fontanera, y no es una relación exhaustiva, ojo!
Orate|@pagafiestas #73 Cerrar @ Orate # 49 ¿Ud lee cómo le puntúan los lectores de El Mundo?, porque no se canda de hacer el ridículo platicando como si fuera una autoridad en Derecho, cuando su alienamiento le nubla la razón. Para entender el despropósito de este juez de Sevilla no hace falta ser una autoridad en Derecho, basta con saber leer y no creerse lo primero que te cuentan. Usted ha leído "sistema de plazos procesales del gobierno socialista" en el titular y se le ha afilado el colmillo, pero resulta que es mentira, que esos plazos procesales los aprobó el PP en 2015.
charlierold|Este juez merece calle en todas las ciudades de España.
N0RL|@pagafiestas #73 Cerrar @ Orate # 49 ¿Ud lee cómo le puntúan los lectores de El Mundo?, porque no se canda de hacer el ridículo platicando como si fuera una autoridad en Derecho, cuando su alienamiento le nubla la razón. no no se canda de nada, ni tú de hacer el ridículo pagafantas.
N0RL|@elneuras #72 Cerrar @ N0RL # 67 A la justicia y a los ciudadanos o a los títeres socialistas que quieren enfangar todo el procedimiento? y que más da elyoyas, si no sabes ni de lo que hablamos.
CHININN|Pero a que estan esperando, que lo pase com la mayor urgencia, a todos los chorizos hay que meterles en el trullo de inmediato vengan de donde vengan.
N0RL|@pagafiestas #70 Cerrar @ N0RL # 63 buen discípulo del creador del fango monclovita. pagafantas, no te hagas más daño públicamente del que ya te haces a diario, busca la noticia que hasta el Mundo la publica.
QueAscodeTipo|Mientras que la situación de la pobreza infantil ha empeorado para España, puesto que hace poco más de un año, Rumanía y Bulgaria eran los líderes indiscutibles de este indicador, hoy España le ha 'robado' la segunda plaza a Rumanía según el reciente informe de Eurostat. Entre tanto estas malas personas de Moncloa no dejan de despilfarrar en tropelías y correrías los impuestos que recaudan a los españoles y que tanto esfuerzo cuesta ganar
pagafiestas|@Orate #49 Cerrar @ Lelonino # 47 La iniciativa de este juez es un despropósito que no va a ningún sitio. No se puede acudir a la Justicia europea pretendiendo que no haya plazos para instruir las causas y que éstas puedan alargarse eternamente en el tiempo. ¿Ud lee cómo le puntúan los lectores de El Mundo?, porque no se canda de hacer el ridículo platicando como si fuera una autoridad en Derecho, cuando su alienamiento le nubla la razón.
elneuras|@N0RL #67 Cerrar El juez Peinado rectifica y anula su reclamación de un informe sobre el rescate de Air Europa. El magistrado dice que se equivocó y renuncia a esa línea de investigación, como la Audiencia de Madrid le ordenó en tres ocasiones. Este hombre hace un daño irreparable a la justicia y a los ciudadanos. A la justicia y a los ciudadanos o a los títeres socialistas que quieren enfangar todo el procedimiento?
pagafiestas|@HOH #55 Cerrar AYUSO PALANTE JAJAJA tienes todas las papeletas para que no se cumplan tus sueños húmedos, borrego sanchista.
pagafiestas|@N0RL #63 Cerrar Para morirse de pena con este juez, el juez peinado reconoce que se ha equivocado entre dos empresas y que deja de investigar el rescate de Air Europa. Terrible lo de este hombre. buen discípulo del creador del fango monclovita.
CESAR_DE_ECHAGUE|@naughty_girl #61 Cerrar Esa modificación del 324 LECRIM la aprobó Rajoy con mayoría absoluta. Eso lo primero. Lo segundo es que se trató de una modificación muy necesaria, porque lo que ocurre con las instrucciones por delito en España no tiene nombre ni parangón en Europa. Eso de que un juez se recorra el Amazonas de rama en rama, durante 15 y 20 años, que había docenas de esas por toda España, sin atar ni terminar nada, teniendo media vida imputada a la gente y luego pedir un traslado cuando la bola de nieve se ha hecho demasiado grande, es lo que provocó que precisamente desde Europa se nos llamase la atención. Y a este señor le van contestar con el informe del Greco y con la manida frasecita, de que "cada delito dará lugar a la instrucción de una causa", no a 300 tomos de totum revolutum. y se invertir en justicia para que los procesos no se eternicen ni hablamos no?
pagafiestas|Adelante, Sr. Juez. Las personas que tienen algún poder para cortar la deriva sanchista de corrupción permanente, deben hacerlo por servicio a los ciudadanos que a todos pagan con sus impuestos.
N0RL|El juez Peinado rectifica y anula su reclamación de un informe sobre el rescate de Air Europa. El magistrado dice que se equivocó y renuncia a esa línea de investigación, como la Audiencia de Madrid le ordenó en tres ocasiones. Este hombre hace un daño irreparable a la justicia y a los ciudadanos.
CESAR_DE_ECHAGUE|@Orate #57 Cerrar @ CESAR_DE_ECHAGUE # 54 El buen funcionamiento de la Justicia pasa por que sea ágil y rápida, su lentitud es un problema endémico en España. Eso es, en todo caso, lo que se puede denunciar en Europa. Pretender alargar los plazos por el deficiente funcionamiento del sistema judicial no se lo van a comprar en ningún sitio. totalmente de acuerdo. Pero es perverso no invertir un euro en justicia, mantener el mismo ratio de jueces que Bulgaria y pretender imponer plazos breves. Se ve un sesgo de evitar condenas por corrupción, que suelen ser los procesos más largos, Gurtel, eres etc
Novale|@Centripeto #10 Cerrar @ Novale # 5 El juez sabe que el grupo parlamentario PSOE, que apoya al gobierno, es Legislativo. quiere usted decir que la ley ha sido aprobada por los representantes parlamentarios de la mayoría de los españoles? Es que eso no es el Gobierno.
culturro|@Novale #5 Cerrar Habrá que explicarle al juez que los plazos no los establece el Gobierno, sino el legislativo. ¿Se puede ser juez sin saber eso? y usted también vota?
N0RL|Para morirse de pena con este juez, el juez peinado reconoce que se ha equivocado entre dos empresas y que deja de investigar el rescate de Air Europa. Terrible lo de este hombre.
Astaoscollons|Lo que saco en conclusión es que es mejor ser político corrupto que robar gallinas, siendo corrupto tienes muchas posibilidades de que se archive la causa
naughty_girl|Esa modificación del 324 LECRIM la aprobó Rajoy con mayoría absoluta. Eso lo primero. Lo segundo es que se trató de una modificación muy necesaria, porque lo que ocurre con las instrucciones por delito en España no tiene nombre ni parangón en Europa. Eso de que un juez se recorra el Amazonas de rama en rama, durante 15 y 20 años, que había docenas de esas por toda España, sin atar ni terminar nada, teniendo media vida imputada a la gente y luego pedir un traslado cuando la bola de nieve se ha hecho demasiado grande, es lo que provocó que precisamente desde Europa se nos llamase la atención. Y a este señor le van contestar con el informe del Greco y con la manida frasecita, de que "cada delito dará lugar a la instrucción de una causa", no a 300 tomos de totum revolutum.
Elamodelcortijo|@HOH #55 Cerrar AYUSO PALANTE JAJAJA Ya te gustaría a ti, pero mala suerte. Ayuso como tantas otras veces, causa archivada, jajajajaja
runi|TENIAN QUE SER TODOS LOS JUECES Y LA JUSTICIA ENTERA
tienesrazon|Que asco de PSOE, todo es corrupción lo mires por donde lo mires.
Orate|@CESAR_DE_ECHAGUE #54 Cerrar @ Orate # 49 por un lado imponen plazos breves. Por otro no dan ni un euro para justicia, sistemas informáticos obsoletos y separados etc. Conclusión políticos impunes El buen funcionamiento de la Justicia pasa por que sea ágil y rápida, su lentitud es un problema endémico en España. Eso es, en todo caso, lo que se puede denunciar en Europa. Pretender alargar los plazos por el deficiente funcionamiento del sistema judicial no se lo van a comprar en ningún sitio.
conchalote96|¿La justicia europea? Anda que buena cosa le importa a la UE lo que está perpretando Pedro contra jueces, policías, UCO, instituciones. Pongamos delitos de golpe de estado, malversación, sedición, EREs...Todo amnistiado.
HOH|AYUSO PALANTE JAJAJA
CESAR_DE_ECHAGUE|@Orate #49 Cerrar @ Lelonino # 47 La iniciativa de este juez es un despropósito que no va a ningún sitio. No se puede acudir a la Justicia europea pretendiendo que no haya plazos para instruir las causas y que éstas puedan alargarse eternamente en el tiempo. por un lado imponen plazos breves. Por otro no dan ni un euro para justicia, sistemas informáticos obsoletos y separados etc. Conclusión políticos impunes
Luislo|VERGÜENZA de gobierno corrupto
Forlon|De paso que diga también que los Alzamiento de Bienes prescriben pronto y no a los 20 años, que no paga ni el tato pasando por los juzgados.
PEPINO08|@Olvido_selectivo #44 Cerrar Por favor, que alguien le diga a este señor la instrucción se puede prorrogar cada seis meses y sin límite hasta que finalice la causa. Solo tiene que leer más allá del primer párrafo del artículo 324 LECRIM. Y ya de paso, que le digan que los límites temporales a las instrucciones de las causas penales se introdujeron en el año 2015. En concreto mediante la Ley 41/2015, publicada en el Boletín Oficial del Estado el 6 de diciembre de 2015. Es decir, propuesto por el Ministro de Justicia en el momento, el Sr. Rafael Català Polo, ministro del Gobierno de Rajoy. Antes de esa reforma no existía limitación temporal alguna en la instrucción de causas penales. Y ese señor es juez¿así va este país. PP y PSOE son iguales...por si no te has dado cuenta aún...
Vilanis|Tampoco he visto que el PP haga nada al respecto. No será que son todos iguales?
Orate|@Lelonino #47 Cerrar Aplaudo a este juez de Sevilla , los catalanes decentes estamos con él . La iniciativa de este juez es un despropósito que no va a ningún sitio. No se puede acudir a la Justicia europea pretendiendo que no haya plazos para instruir las causas y que éstas puedan alargarse eternamente en el tiempo.
