NewOrder|Espero que la Federación Española se comporte como debe y no se presente a esta patochada...
javil|@Orozko #263 Cerrar Soy vasco, espero que gane España Pues enhorabuena si gana España. Para otros el triunfo es poder participar.
alaremanguille|@pf2014 #257 Cerrar @ alaremanguille # 248 ¿Quién ha politizado el deporte sino aquellos que pretenden tener su propia selección nacional? La idea de crear una federación vasca no es otra cosa que política. ¿Y prohibirla qué es, gastronomía?
javil|@pf2014 #260 Cerrar @ javil # 258 Dado que la pelota vasca fue deporte olímpico únicamente en las olimpiadas de Paría de 1900 (en las de 1924, 1968 y 1992 fue tan solo deporte de exhibición) no se si se dieron las condiciones para lograr "numerosas" medallas. Y eso que España no debía tener muchos contrincantes. Pues en Barcelona 92 La Caixa pagaba lo mismo a los deportistas que lograban medallas, independientemente de que fuesen en disciplinas invitadas
javil|@pf2014 #261 Cerrar @ javil # 259 No. Pero generalmente las competiciones internacionales las disputan las selecciones nacionales de los Estados miembros. Pero no siempre. Y qué mejor excepción que este caso con un deporte tan vinculado al País Vasco y con tan pocos países participantes
Orozko|Soy vasco, espero que gane España
Ming|España debería retirarse del partido
pf2014|@javil #259 Cerrar @ pf2014 # 257 Las competiciones internacionales no tienen porqué ser entre estados. Lo determina la federación internacional de cada deporte. En las olimpiadas las representaciones sí son por estados. Euskadi ha conseguido con todas las de la ley su ansia de competir internacionalmente No. Pero generalmente las competiciones internacionales las disputan las selecciones nacionales de los Estados miembros.
pf2014|@javil #258 Cerrar @ pf2014 # 142 Pero en todas esas competiciones las medallas que se han conseguido son de chocolate. En pelotas vasca en cambio España ha conseguido numerosas medallas olímpicas Dado que la pelota vasca fue deporte olímpico únicamente en las olimpiadas de Paría de 1900 (en las de 1924, 1968 y 1992 fue tan solo deporte de exhibición) no se si se dieron las condiciones para lograr "numerosas" medallas. Y eso que España no debía tener muchos contrincantes.
javil|@pf2014 #257 Cerrar @ alaremanguille # 248 ¿Quién ha politizado el deporte sino aquellos que pretenden tener su propia selección nacional? La idea de crear una federación vasca no es otra cosa que política. Las competiciones internacionales no tienen porqué ser entre estados. Lo determina la federación internacional de cada deporte. En las olimpiadas las representaciones sí son por estados. Euskadi ha conseguido con todas las de la ley su ansia de competir internacionalmente
javil|@pf2014 #142 Cerrar @ Mugarri # 31 Ni competiciones de lucha canaria, ni de bola canaria, ni de loita galega, ni de pelota valenciana, ni te tiro de reja, ni de caliche murciano, ni de picota, ni de.... Pero en todas esas competiciones las medallas que se han conseguido son de chocolate. En pelotas vasca en cambio España ha conseguido numerosas medallas olímpicas
pf2014|@alaremanguille #248 Cerrar @ conchalote96 # 236 ¿Es realmente peligroso que unos deportistas jueguen contra otros deportistas? ¿Habrá heridos, muertos? ¿Se hundirá la Bolsa? ¿Qué tal si dejáis de politizar el deporte y que cada cual anime a su equipo sin ese odio que os sale por los poros? ¿Tan grave es que alguien prefiera jugar en un equipo que no sea el vuestro? ¿No pasa algo parecido en el Reino Unido, y no pasa nada? ¿Quién ha politizado el deporte sino aquellos que pretenden tener su propia selección nacional? La idea de crear una federación vasca no es otra cosa que política.
pf2014|@BELASTEGI #255 Cerrar @ Javierlec # 220 ¿Exactamente que entiende vd. por fundar? ¿Qué rey castellano fundó Bilbao? Bilbao ya existía antes de que Diego López de Haro apodado el Intruso el 15 de junio de 1300 dice hacer nuevamente población y villa cual dicen el Puerto de Bilbao, y lo hizo para cobrar dineritos a las mercancías. En el camino de Areta a Bilbao nadie podría tener compraventas y quienes transitaran de Orduña a Bermeo por Echábarri debían pasar por Bilbao. Lo que se entiende por fundar es dotar a un asentamiento de una "carta de población" con sus fueron, derechos, límites, etc. Generalmente se "fundaban" poblaciones con el fin de atraer habitasen a esas zonas con fines económicos o defensivos. Si Bilbao ya existía antes de su fundación ¿para qué fue necesario fundarla? El que esa zona estuviera habitada antes de su fundación no significa que la villa existiera.
BELASTEGI|@Javierlec #220 Cerrar @ innodes # 209 Una nación en la que Bilbao fue fundada por un rey castellano. O Zarautz, Hondarribia...o Guernica. Es decir, fueron castellanos antes que Madrid. Nunca fueron una entidad política independiente: parte deCastilla, parte de Navarra...Nación inventada por Sabino Arana, y se lo han creído. More usted cualquier mapa antiguo en cualquier enciclopedia o museo del mundo y verá que nunca aparece lo que hoy se llama Euskadi. Verá usted León, Aragón, Castilla, Navarra...y luego España. ¿Exactamente que entiende vd. por fundar? ¿Qué rey castellano fundó Bilbao? Bilbao ya existía antes de que Diego López de Haro apodado el Intruso el 15 de junio de 1300 dice hacer nuevamente población y villa cual dicen el Puerto de Bilbao, y lo hizo para cobrar dineritos a las mercancías. En el camino de Areta a Bilbao nadie podría tener compraventas y quienes transitaran de Orduña a Bermeo por Echábarri debían pasar por Bilbao.
BELASTEGI|@albertosanpen #243 Cerrar Pues seran vascos contra vascos, pq a eso no juega absolutamente nadie. Menuda memez. ¿Seguro? Club de Pelota Guadalajara, En Castilla-La Mancha hay algunos municipios con una gran afición a la pelota vasca, Iscar (Valladolid), etc. En febrero de 1944, la Delegación Nacional de Deportes acordó el cambio de denominación del deporte de Pelota Vasca a Pelota Nacional e impulsó la construcción de frontones.
BELASTEGI|@onbekende #246 Cerrar @ JeanMoulin # 224 NO ES PELOTA VASCA, ES PELOTA... un deporte que ya se jugaba en el Reino de Castilla antes de que algunos a la boina la llamasen chapela. En el año 1500, el Rey Felipe el Hermoso, fallecio en Burgos despues de jugar un partido de pelota... La pelota vasca, la segoviana, la valenciana, frisona, galesa, etc ¿Son iguales? ¿Todos los deportes en que se utiliza un balón ¿Son iguales? ¿Pertenecen a la misma federación?
BELASTEGI|@Usuarios2000 #250 Cerrar @ onbekende # 246 Y en Francia también jugaban. Ahí está el juramento del juego de la pelota de diputados franceses en 1789. Lo que no hacen los nacionalistas catalanes y vascos es jugar en unas ligas vascas y catalanas de fútbol, que para eso sí quieren ser españoles. ¿Y el juego de pelota era el mismo. tenía las mismas reglas, etc que la pelota vasca? NO. Le Jeu de Paume es un juego de pelota por encima de una red a la manera del tenis. Juegos de pelota hay en todo el mundo; Pelota galesa, valenciana, segoviana, mixteca, frisona, etc
Futre1|Da vergüenza hasta leerlo. Culpables los votantes del PSOE
Usuarios2000|@onbekende #246 Cerrar @ JeanMoulin # 224 NO ES PELOTA VASCA, ES PELOTA... un deporte que ya se jugaba en el Reino de Castilla antes de que algunos a la boina la llamasen chapela. En el año 1500, el Rey Felipe el Hermoso, fallecio en Burgos despues de jugar un partido de pelota... Y en Francia también jugaban. Ahí está el juramento del juego de la pelota de diputados franceses en 1789. Lo que no hacen los nacionalistas catalanes y vascos es jugar en unas ligas vascas y catalanas de fútbol, que para eso sí quieren ser españoles.
FNPL|Los deportistas "españoles" deberían de tener honor y no jugar.
