umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
Chuloide|@Loren #730 Cerrar Al desprestigio de las instituciones han contribuido muchos jueces y fiscales, nombrados por partidos políticos. Ahora toca desenredar la madeja construida durante muchos años. por qué? Porque los tuyos la están liando parda? Qué esperas de la adjudicatura? Yo, lo que están haciendox y espero juicios justos. No os pongáis ahora a dudar de la separación de poderes, democracia y constitución, antes de preguntaros, y si fuera verdad? No a las religiones no al socialismo
Indomito|Y mientras tanto , el UNO hablando de los océanos en Niza.
Segistobre|El juez Hurtado acusa al Presidente del Gobierno acusa sin ninguna prueba. El presidente del Gobierno se debería de querellar contra el juez Hurtado e instar a que pruebe en sede judicial tales afirmaciones.
dsaavedrak|El que pueda hacer que haga
_Placebo72|@ntl #717 Cerrar @ _Placebo72 # 604 En # 584 he dicho "no lo hizo porque es una mafia". En # 604 dices "por qué cree usted que no lo hizo?". Mira: hasta luego Lucas. Sra, no lo hizo porque no quiso y porque le venía mal. Usted puede decir que todos son iguales pero, en este caso , no, porque el PSOE nunca ha bloqueado la renovación del CGPJ estando en la oposición y con los métodos de siempre. Ahora, siga con sus teorías.
Loren|Al desprestigio de las instituciones han contribuido muchos jueces y fiscales, nombrados por partidos políticos. Ahora toca desenredar la madeja construida durante muchos años.
Fakejo|@MalditosRoedores #678 Cerrar Mikel Straus, portavoz del grupo conservador en el parlamento europeo: ` Si se promulga una ley de amnistía inconstitucional solo para mantener a los socialistas en el poder, deber ser elevado a nivel europeo. El gob. de izquierda está desmantelando el Estado de Derecho, la separación de poderes y la igualdad de los españoles; es obvio que la democracia española está en peligro. Y eso lo dice no un juez sino un político del PP europeos, el estado de derecho lo está desmantelando el PP de la mano de jueces prevaricafores
Ciudadanno|Pues ya tiene 2 defensas gratuitas, su abogado y el fiscal por ser su propio subordinado. Tiene que entrar Europa, estamos en un punto de corrupción en el que ya nada tiene sentido, ni hay presupuesgos, ni se aprueban leyes, ni nada que no sea robar. Mucho ojo con el voto por correo, en 2023 1 millón de votos salieron de Ferraz.
Fakejo|Es muy fuerte el mensaje de que con el clan Ayuso nadie se mete y que sea capaz de poner en peligro la democracia...cuando acabe todo esto hay que denunciar a todos estos jueces corruptos
tienesrazon|Los rojos prefieren que el Fiscal General se dedique a proteger delincuentes (si son socialistas) en vez de a perseguirlos. Y los rojos prefieren que la Fiscalía haga política en vez de servir a la ley. Inaudito, pero real.
Laila889|@Casilda #682 Cerrar @ mercurio1 # 642 el tribunal supremo archivará la causa y se les acabó el rollo . Dirán: Bueno es España, cuando no lo hace un lado lo hace el otro. La republica bananera que solo nos sirve de playa para verano, dejémosla tranquila ahí se apañen.
brandonmaltes|Está demostrado ante notario por varios periodistas que no fue el FGE quien filtró, pero a la prensa del PP le da igual. Le llaman "línea editorial". Al juez también le da igual. No digo lo que pienso del juez Hurtado para no ser censurado. El FGE no debe dimitir, porque nos jugamos la democracia.
tienesrazon|@Casilda #641 Cerrar @ tienesrazon # 628 si no lo hizo con el PP tampoco lo hará con PSOE . Anda la Casidilta, ¿Y a qué Fiscal General del Estado procesaron cuando estaba el PP en el poder?. Yo no me he enterado, que raro, pero igual te inventas tú uno ahora mismo, después de lo de la bomba lapa ya podéis inventar lo que sea menester.
ADELE_|@El_futuro_ya_paso #681 Cerrar Álvaro no quería perder el relato y en lugar de mirar detrás del sofá se metió en este lío. ¿Podría dejar de robarme frases? Luego los andaluces tienen la fama que tienen.
roterosenausathen|@Viano43 #670 Cerrar Un fiscal delincuente, ni en una película!!! Ya fue procesado y declarado culpable?
Casilda|@AngelOfTheNorth #644 Cerrar @ DDavid # 640 Hay una diferencia. Los del actual gobierno han corrompido justicia, universidad, sindicatos, GC, CNP, Renfe, Correos, Red Eléctrica... Este nivel de saqueo y corrupción jamás se había visto en democracia. y todo eso que dice quien lo mandaba antes ???
No_mas_politicos|@_Placebo72 #676 Cerrar @ ROQUEDETIERRA # 631 Usted cree? Piensa que Marchena, LLarena , Hurtado y demás amiguitos del PP permitirán tal desenlace? Que poco conoce usted al Clan de los Genoveses y sus apéndices judiciales, la verdad. pues sinceramente no entro en esa cuestión, y más sabiendo de su ideología política, si mal no recuerdo es usted independentista catalán y de ERC. Bueno, después de lo dicho creo que no está en posición de criticar al poder judicial después de la amnistía. Personalmente creo que el golpe de estado y malversación de caudales públicos se produjo con bastante violencia notoria. La inestabilidad y decadencia actual la sufrimos gracias a ustedes.
Casilda|@pepote25 #653 Cerrar @ ADELE_ # 621 Otro día perdido anciana ,otro día encerrada sin salir y con el teclado del odio a toda marcha ,otro día creándote enemigos que te insulten ,que triste vida y lo bien que se lo pasa riéndose de todos vosotros .
ntl|@_Placebo72 #604 Cerrar @ ntl # 584 Aaaahhh. Qué el PP prometió cambiarlo y pudo cambiarlo cuando gobernaba y no lo hizo? Y por qué cree usted que no lo hizo? No será, por casualidad, para que desde ese mismo CGPJ nombraban a jueces tipo Hurtado, no? En #584 Cerrar @ _Placebo72 # 477 El pp prometió cambiarlo y no lo hizo porque es una mafia. El psoe pudo cambiarlo y no lo hizo porque es una mafia. Ahora todos los que defendieron que volvieran a repartirse los jueces a llorar acusando de jueces corruptos. he dicho "no lo hizo porque es una mafia". En #604 Cerrar @ ntl # 584 Aaaahhh. Qué el PP prometió cambiarlo y pudo cambiarlo cuando gobernaba y no lo hizo? Y por qué cree usted que no lo hizo? No será, por casualidad, para que desde ese mismo CGPJ nombraban a jueces tipo Hurtado, no? dices "por qué cree usted que no lo hizo?". Mira: hasta luego Lucas.
moskorti|@MalditosRoedores #678 Cerrar Mikel Straus, portavoz del grupo conservador en el parlamento europeo: ` Si se promulga una ley de amnistía inconstitucional solo para mantener a los socialistas en el poder, deber ser elevado a nivel europeo. El gob. de izquierda está desmantelando el Estado de Derecho, la separación de poderes y la igualdad de los españoles; es obvio que la democracia española está en peligro. te suena la policia patriotica? El controlar las salas de jueces por la puerta de atras? Te suena?
Voxamnistiayreferendumpa2anos|Bienvenidos al nuevo país de Venezuela....!!!
WILLY_NILLY|@Rakataplan #549 Cerrar Es posible que haya que demoler las últimas rémoras del franquismo por amenaza de derrumbe, por ejemplo el TS, carcomido hasta el tuétano. Por supuesto, derrumbemos el actual TS y creemos el nuevo TS : Tribunal Sanchista...
WILLY_NILLY|@ADELE_ #556 Cerrar @ nifacha_niwoke # 536 Pero señor, si un golpe de estado y una dictadura es exactamente lo que quieren PillyMilly y el resto de foreros... Yo lo que quiero es que Sánchez conceda ayudas sociales a indigentes mentales como Adelita, que no sale de aquí, todo el día metida...Pobre mía...
Crowvn|Lo verdaderamente deleznable es... que un Fical General tenga comportamientos que obtruyan la Justicia, porque nada tiene que temer, aquel que nada ha hecho. Estoy seguro que las garantias procesales son las maximas,dado quien es.
Segistobre|Si la filtración no se refiriera al novio de Ayuso seguro que el PP y ciertos jueces no le habrían dado ninguna importancia.
