Pato|Pues muy bien, la justicia es igual para todos.
Marielou|Llegan a la política y todos se creen impunes, Ayuso tiene varios frentes abiertos pero, como la infanta emérita, ella no sabía nada
Marielou|@Crispin54 #479 Cerrar Este señor no me interesa. Es uno más de los presuntos defraudadores de hacienda que pululan por España. Si es inocente o culpable serán los jueces quienes lo digan. Si este señor no fuera novio de Ayuso no sabríamos nada de él. Respecto a Ayuso, sólo nos debe importar si ha infringido alguna ley, si no ha infringido ninguna ley no me importa quién es su novio en ese caso se podría aplicar la misma tesis para Pedro Sánchez, no?
Babia|Ayuso calienta que sales
Havane|@PepinilloAgridulce #461 Cerrar Vuelvo a repetir lo mismo, un señor, que tiene el 25% de una sociedad, que es un particular, y que solamente a él se le esté dilapidando por un tema privado, de cuando no lo conocia ni el tato, tan sólo porque actualmente es el novio de Ayuso. Mientras que Bego, todo el tráfico de influencias lo ha realizado siendo la mujer del presidente del gobierno, no es comparable. Si todo el mangoneo, lo hubiese hecho antes de conocer a Sánchez probablemente la defendería, pero el mangoneo, y las gestiones de un rescate multimillonario con dinero público, lo ha hecho aprovechando su condición de mujer consorte del sátrapa. No es comparable, por más que los trolls sociatas quieran hacerlo. ya está bien con el rescate, fue un PRESTAMO. Y se hizo bien.
conmundo|Alquilo motosierra argentina marca MILEI Sobra casta y funcionariado Más IA....menos estado
Editora|Menuda pájara la Ayuso ésta...
Madison|De los cientos de expedientes que abre Hacienda por fraude fiscal cada año, casualmente solo se ha filtrado a los medios el de la pareja actual de Isabel Diaz Ayuso. Los demás defraudadores no importan. Marichús no ha salido en televisión a señalar a ninguno, el fiscal general haciendo de fontanero para Sánchez, solo tiene ojitos para Amador. Y mientras, los palmeros sanchistas, aplaudiendo la corrupción de la rosa nostra. Hipócritas.
Madison|@_Placebo72 #477 Cerrar @ pepote25 # 473 Se acabará pero tú seguirás atacando la corrupción del PSOE y escondiendo o quitándole importancia a la de tus amos peperos, riojano, que aquí nos conocemos todos. Recuerda, cuando el PP de Rajoy fue expulsado del gobierno de este país ,por su demostrada y sentenciada corrupción, tú los volviste a votar, así que menos lecciones y menos cuentos Caperucita. Se ataca la hipocresía del PSOE y con razón. No puedes ir de santo por la vida y montar una moción de censura al PP para erradicar la corrupción y devolver la confianza de los ciudadanos en las instituciones y luego hacer todo lo contrario, hasta el punto de atavar a jueces y a las fuerzas del orden para obstaculizar su trabajo
Madison|@jaumequalsevol #481 Cerrar La princesa está triste, qué tendrá la princesa... un maromo estafador al que ha intentado cobijar desde el gobierno de la comunidad. Comparten ático pero no podrán compartir el trullo cuando les condenen a ambos. eso mismo opino yo de begoña
UsuarioAnonimo|@Pato #5 Cerrar Pues muy bien, la justicia es igual para todos. Tengo mis dudas. Sin exculpar a ningún posible culpable, pero no me fio de la justicia cuando está siendo controlada, dirigida y corrompida. Yo desde mi silla no sé si este señor defraudó o dejó de defraudar, lo que sí intuyo es que algo tiene que ver que sea un allegado a uno de los mayores adversarios políticos de Sánchez y por eso se le busquen los trapos sucios hasta la saciedad. A partir de ahí sí hombre sí, la justicia es igualita para todos, especialmente para todos aquellos para los que es igual y sin contar aquellos para los que la justicia es "diferente". Y además el comentario más votado. Luego pasa lo que pasa cada vez que hay elecciones.
