69000|Era un secreto a voces. Lo sabia todo el mundo en Andalucia, pero nadie denunciaba. Unos por miedo, otros para no perder sus prebendas. Se creó una Administracion paralela para enchufar a amigos y familiares. Miles de estómagos agradecidos que cuestan muchos millones, pero dan votos. Después no hay dinero para Sanidad, ni para Policias, etc. Esa es el progresismo en España. Vender humo para trincar pasta.
estoestaplagadoderojos|@Pirulas3 #413 Cerrar @ estoestaplagadoderojos # 351 Experta. NORL es chica. gracias por hacérmelo notar , pues diremos chica,chico,chique
estoestaplagadoderojos|@in99 #361 Cerrar @ estoestaplagadoderojos # 339 la lista del PP es igual de larga y las comparaciones son odiosas Mentiroso desmuestralo
elconejero|@Airborne #391 Cerrar @ ADELE_ # 387 AQUI TENEMOS AL MAMPORRERO DEL PSOE VAMOS EL TIPICO ZURDERAS CIEGO QUE SIGUE SIN VER LA REALIDAD Y DEFENDEINDO A CAPA Y ESPADA A SU AMO PEDRO SANCHEZ es uno de los enchufados de la.noticia ,tendrá que disimular el hombre y hacer que trabaja o la mujer por si acaso
marrinton|¿Y que hizo el PP cuando llegó? ¿lo investigó? ¿los echó o los mantuvo? Porque creo que han acabado todos integrados en el SAE.
fcogarcia|¿Tendrá la misma credibilidad este informe que el de cierto chalet allende de los mares?
Quascodegente|Habrá aprendido ya la mujer del socialista Espadas a usar el wor prefet?por curiosidad,
Airborne|@ADELE_ #406 Cerrar @ Airborne # 400 No hombre, está claro que por tu forma de escribir eres de Vox. ¿Quieres bellotitas? Crujen. que enfermizo con VOX, pero mas lo enfermizo es como ejerces de mamporrero del PSOE
Airborne|@ADELE_ #406 Cerrar @ Airborne # 400 No hombre, está claro que por tu forma de escribir eres de Vox. ¿Quieres bellotitas? Crujen. Ainss!! mamporrero del PSOE lo tuyo ya es de psiquiatrico
Airborne|@ADELE_ #405 Cerrar @ Airborne # 402 Me gusta muchísimo tu rabia, pero no se puede canjear por votos reales JO QUÉ PENA Poco debes de trabajar bueno si aqui de mamporrero del PSOE porque siempre estas en todos los fregaos de articulos blanqueando la corrupción del PSOE con tus comentarios.
Pratchett|@ADELE_ #383 Cerrar @ Pratchett # 376 Ayer no comentó usted nada cuando procesaron al novio de Ayuso. ¿No le parece que robó rico rico y con fundamento? Si, si pero que VOX no baje demasiado, dales cariñito de vez en cuando, OK?
ElFistro|Me sorprende que os sorprenda que en esa fundación haya enchufados. Que investiguen a fondo en la Diputación de Sevilla y empresas "colateralees" (familiares de alcaldes, exalcaldes, ......)
urban57|Vividores corruptos y sinvergüenzas
Corruptodeizquierdas|La basura sociata subiendo en el escalafón social a base de robos y desfalcos
JPV|@Jacobino #411 Cerrar En la UCO y en el resto de cuerpos policiales hay que hacer una limpia que hay mucha basura, hay mucho cloaquero por ahí suelto. Es en los gobiernos corruptos en dónde hay que hacer limpia y no en donde se combate la corrupción.
Miraluna|@Anny #410 Cerrar @ Miraluna # 403 Pero si te lo esta diciendo el articulo , los queda tar enchufados que no se los puede echar , ahora esr ta haciendo lo mismo en todo los organismos del estado, y si algyn dia gobierna otro (que yo ya empoiezo a dudar que con ls cambios de leyes que esta haciendo no se perpetue) pues soib saliera como decia , tendra caballos de troya metidos en todos sitio para que no pueda hacer nada , estos es la mafia que nos gobierna No hace falta echarlos, se reestructura, se cambia de organigrama, se mueve a la gente de sitio por causas operativas, y veras cuando los cambies de sitio de funciones y de privilegios como la mitad se da el bote... la otra mitad esperas a que se vayan jubilando y cierras el chiringuito. Hay algunos que sencillamene te sale más barato cerrarlos con indennizaciones que mantenerlos abiertos. NO SON FUNCIONARIOS.
teletusa|El Psoe andaluz es un estercolero desde hace mas de 30 años, sinverguenzas profesionales,gastando en sus echufes, subvenciones, EREs,cursos de formacion...inventaron de todo para desviar el dinero publico, mientras muchos hospitales y centros de salud con carencias de todo tipo en las provincias andaluzas olvidadas por este partido ,no habia presupuesto para tanto despilfarro en sus chanchullos y atender a 8 provincias.
FURILO|Lo sabe Pumpido? Por cierto, cuando terminan los rojos que aquí escriben, el curso de Inteligencia Artificial? jijijijiji
Pirulas3|@estoestaplagadoderojos #351 Cerrar @ N0RL # 252 Ya esta el experto del IBEX ` por aqui jajajajaj Experta. NORL es chica.
Pirulas3|@ToujoursauContraire #401 Cerrar La cosa es así, Sánchez, hace unos meses, desaloja al presidente de Telefónica, José María Álvarez-Pallete y le sustituye por uno de los suyos, Marc Murtra. Este sí se aviene al enjuague de contratar al hijo de Conde-Pumpido, Gonzalo, con un sueldazo de 100.000 euros con treinta añitos recién cumplidos y sin apenas experiencia laboral gracias a Sánchez. Así que papá Pumpido juzga que los cientos de millones perdidos de los ERE fueron legalmente sustraídos por el PSOE ¿Hacen falta más pistas para saber que pasará con la Faffe? Afortunadamente, cuando la FAFFE llegue al Constitucional, no estará Pumpido...
Jacobino|En la UCO y en el resto de cuerpos policiales hay que hacer una limpia que hay mucha basura, hay mucho cloaquero por ahí suelto.
Anny|@Miraluna #403 Cerrar ¡JUANMA MORENO! ¿Y tu que has hecho en todo esto después de seis años? NAAAAAADA. Los mismos enchufados en los mismos puestos de privelegio por tener el carnet del PSOE. Ni siquiera has removido cargos directivos por miedo a molestar.... ¡¡COBARDE!!! ANDALUCIA EMPRENDE. 49 MILLONES DE EUROS AL AÑO manteniendo a los mismos directivos y privilegiados que puso el PSOE sin concurso ni oposición, sólo por ser significados del partido. No es que los eches. es que no los sigas privilegiando. ¡¡Pero que menos que eso!! Pero si te lo esta diciendo el articulo , los queda tar enchufados que no se los puede echar , ahora esr ta haciendo lo mismo en todo los organismos del estado, y si algyn dia gobierna otro (que yo ya empoiezo a dudar que con ls cambios de leyes que esta haciendo no se perpetue) pues soib saliera como decia , tendra caballos de troya metidos en todos sitio para que no pueda hacer nada , estos es la mafia que nos gobierna
Anny|@ToujoursauContraire #401 Cerrar La cosa es así, Sánchez, hace unos meses, desaloja al presidente de Telefónica, José María Álvarez-Pallete y le sustituye por uno de los suyos, Marc Murtra. Este sí se aviene al enjuague de contratar al hijo de Conde-Pumpido, Gonzalo, con un sueldazo de 100.000 euros con treinta añitos recién cumplidos y sin apenas experiencia laboral gracias a Sánchez. Así que papá Pumpido juzga que los cientos de millones perdidos de los ERE fueron legalmente sustraídos por el PSOE ¿Hacen falta más pistas para saber que pasará con la Faffe? NINGUNA
JUANJGD|Hace 10 años casi que Andalucía está gobernada por PP, Ciudadanos y Vox apoyando. Pero no se cumplen los compromisos de austeridad, honestidad y eficiencia que prometieron a Vox y a los andaluces.
Anny|Si se encargan bien de quedar a todos bien enchufados y que cuando cambia el gobierno no los pueda echar , lo esta haciendo tambien en el gobierno central , si algun dia conseguimo sacarle de ahi , tendra caballos de troya metidos en todos los sitio
ADELE_|@Airborne #400 Cerrar @ ADELE_ # 396 NO SOY DEL PP MAMPORRERO DEL PSOE Y DEBES DE ABURRIRTE O QUIZAS TE PAGAN POR ESTAR HACIENDO EL RIDICULO EN CADA POST QUE ESCRIBES LOS DEL PSOE QUE ES LO QUE SABEN HACER LOS INEPTOS E INCOMPETENTES No hombre, está claro que por tu forma de escribir eres de Vox. ¿Quieres bellotitas? Crujen.
ADELE_|@Airborne #402 Cerrar @ ADELE MAMPORRERO DEL PSOE LO MAS RIDICULO QUE PUEDE EXISTIR EN TODO ESTE HILO DE LA NOTICIA LEYENDO SUS POST. Me gusta muchísimo tu rabia, pero no se puede canjear por votos reales JO QUÉ PENA
